Epochs,1,2,3,4,5,6,7
109,1.24287944022,1.20574315599,1.19087280125,1.19015583374,1.19398794995,1.20515760513,1.1963125692
110,1.24112749208,1.20442591719,1.19083088757,1.18946729302,1.19322170293,1.20526449678,1.1953372429
111,1.24077078532,1.20562272502,1.18987497299,1.18849160366,1.19367160269,1.20386408448,1.19479990266
112,1.24161173216,1.20362427129,1.18938572726,1.18766020174,1.19277404859,1.20566185346,1.19512645775
113,1.23870116136,1.20258116337,1.18790046355,1.18707555778,1.19203691502,1.20368281842,1.19357945515
114,1.23877489545,1.20424421364,1.18762184615,1.18619044882,1.19204053918,1.20276531098,1.19368135304
115,1.2393148599,1.20201321731,1.18741684066,1.18558298641,1.19067758615,1.20202916391,1.19355896249
116,1.23821214639,1.20175843468,1.18672675245,1.18719751202,1.18971044216,1.2017000176,1.19181545562
117,1.23785968752,1.20189719329,1.18656592958,1.18549725338,1.18972578205,1.20176376312,1.19283252075
118,1.23493021347,1.20160976149,1.18679262955,1.18467804063,1.19039225969,1.20218690409,1.19131601182
119,1.23536890343,1.20127709403,1.1867222402,1.18428914848,1.19003142001,1.20036351422,1.19127823981
120,1.23411797218,1.200490251,1.18575096222,1.18473742379,1.18852167638,1.20011175032,1.18989505598
121,1.23336178227,1.19795776882,1.18489408275,1.18446624682,1.18835520842,1.19933729938,1.19071913078
122,1.23533997293,1.19766669793,1.18509012547,1.18418308135,1.18731316582,1.1994562921,1.19033222394
123,1.23251319713,1.19912005984,1.18475608437,1.1834758675,1.18730497067,1.19973719921,1.19086285074
124,1.23353202834,1.19824367494,1.18458647116,1.18174540244,1.18603643628,1.19895345707,1.18957811118
125,1.23002446393,1.19852569829,1.1843865104,1.18216487832,1.18610977638,1.19880615067,1.19020666112
126,1.22963170667,1.1960527286,1.18261891954,1.18275918614,1.1854304212,1.19729521106,1.18884720118
127,1.22857360436,1.19612994261,1.18255247341,1.18062993832,1.18536694617,1.19635211047,1.18859479883
128,1.22967838872,1.19581401153,1.18229805366,1.18013565616,1.18493943625,1.19656530875,1.18794477194
129,1.22786725827,1.19557763039,1.18182959977,1.18117266446,1.18487951306,1.19734532867,1.18928701884
130,1.22664908981,1.1954889441,1.18107693841,1.17968139095,1.18501030031,1.19620243697,1.18846744651
