Epochs,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
50,2.2709777157656323,1.3693166078765535,1.2064618279280652,1.1881748293037009,1.1812186800184028,1.1890628865507782,1.1999590269854812,1.206746135774206,1.2080639255053582,1.210805357340069,1.2082701112982281,1.2076504069649407,1.2061281154194816,1.215447298164576,1.2143228088883273
51,2.2624708481156093,1.365211955402284,1.2051749337752473,1.1854680880056399,1.1803736818174313,1.18892480213134,1.1989342720025686,1.2053774000517006,1.2069669496278563,1.2079653466334108,1.2059045014558014,1.204494634161681,1.203521574872439,1.2115851041397763,1.2132993280590219
52,2.2640660805252204,1.3568080900362498,1.2016354585419773,1.184254455014618,1.176943259101807,1.1850585194884753,1.1988409345645492,1.2036271582535707,1.2035700960843962,1.205128381905567,1.208984420780131,1.2014223806193618,1.2003453237502302,1.210519623886692,1.2072954953608985
53,2.2538491796485927,1.3528220814216767,1.20054980290299,1.1805631558023746,1.1768783420043032,1.1849301398777572,1.1928557107084206,1.2005173396543076,1.2023991111175296,1.203388963706041,1.2037595009615585,1.2003108664388764,1.198838444772314,1.2064977884292603,1.2078580320178824
54,2.2531147788043144,1.348335639809433,1.1990721290507975,1.181041022045978,1.1737070787740596,1.1820451705182184,1.193479160793492,1.1980053289340493,1.2013832995822835,1.2030916646716188,1.2033938189745672,1.1967225940651431,1.1998522513030005,1.2046576777442557,1.206084246220796
55,2.2429507291047615,1.3387851415436125,1.1962531219321615,1.1796675029578065,1.1727849125447583,1.181290048067687,1.1943193673772323,1.1946885545397066,1.2006228510911616,1.2028141697340882,1.1987081048846173,1.1955380551751895,1.196716151315658,1.2033920913446146,1.204153155481824
56,2.239082124627265,1.3370947657604253,1.1930316598409791,1.1783775075077436,1.171611258004118,1.1805702750800087,1.1895224577784222,1.1943744486146937,1.2002424218009056,1.2016332188590628,1.1969181629260814,1.1928637639571258,1.1921680220619577,1.2005234318352789,1.202512027447511
57,2.2392561063863665,1.3321219511153701,1.1923219051517424,1.175424822960893,1.1689984568658895,1.1780210420733592,1.1863325450989004,1.1957098304248246,1.1985876681172558,1.1975212577355272,1.1964029245978787,1.1917262513279765,1.191895757737707,1.1982954844750993,1.2018417527823473
58,2.238447157217963,1.329759866813493,1.189949205776009,1.174345260990735,1.167207884006813,1.175795630353396,1.195426007920885,1.1895069549643928,1.196964594386539,1.1956761099694764,1.1931634916995755,1.189725849246618,1.1889098419126918,1.196612962608129,1.1979922163257068
59,2.226672021699364,1.326288736800244,1.1898769722051865,1.1730182567465846,1.1663161681412584,1.175248622894287,1.1854730545686452,1.188501795523805,1.1932313570267337,1.197738886437874,1.1930028179159438,1.190049877082565,1.1864549924506516,1.1953171843388042,1.199468932403298
60,2.227582040485894,1.3219482337407944,1.187940474807239,1.1705304578507072,1.1675387504263062,1.1733289175346249,1.1863045459194577,1.1870231013480432,1.1925048472316606,1.1934614420216312,1.191959419464732,1.1878310339748483,1.1864651146091398,1.194477214839289,1.1946107407425102
61,2.2233553642079427,1.3168622715659914,1.1863211445283555,1.170554126814913,1.16518922107941,1.1719482687653089,1.1874575990649647,1.1862049771136924,1.1910932907753573,1.1935876572997564,1.1891364302140115,1.1870659684473448,1.184367226968046,1.1929604551179813,1.1951232665959886
62,2.2212238312295756,1.3128868560756273,1.1841601671044664,1.1698535589380916,1.1626586921761064,1.1711331351858671,1.1823014616020642,1.182870123230043,1.1890702888479066,1.1933838824198453,1.189797590918156,1.1849127949261276,1.1836375247455033,1.1909450116704723,1.19186049512855
63,2.218237280845642,1.308819989254783,1.1826359271444817,1.1669682157993777,1.1618904280413813,1.1701853392554111,1.1827340823263797,1.1838785759086818,1.1861206521551242,1.1919392827523119,1.1900347850868467,1.182132291012123,1.181240656766735,1.1905243530299494,1.1888275635896712
64,2.2186047257603825,1.305143969523668,1.1796142973721166,1.1664412812533695,1.16131550420059,1.1665591802753386,1.1795434565660123,1.181369969883903,1.187122836565823,1.1896988650395663,1.1882691952265894,1.180016346266411,1.1801503988953888,1.1858893307180352,1.1909300498425408
65,2.2128608507765675,1.300094052524949,1.1798009079569118,1.1641543593218149,1.1600849710171695,1.167453172754069,1.179583065444234,1.180098044416292,1.1829459974494878,1.1863524106961503,1.1857939284717813,1.1797277730470348,1.18078739877607,1.186134236432164,1.1852262749131544
66,2.2055221544095884,1.2979667992322605,1.1792209452153368,1.1617773219497591,1.1583396865548155,1.1661503383370697,1.1737448676183448,1.1787520989694231,1.1846029315040636,1.1863039776647957,1.1834839471702367,1.1763325066764898,1.1781010931046283,1.1843909982775078,1.1846376865656139
67,2.2030371741800643,1.3011639083452347,1.1782053879887493,1.1613808563383243,1.1571200972934652,1.1656623170024059,1.173255338421705,1.1800700747250208,1.1827527163323877,1.1834620826417446,1.1845836496092583,1.1770971198701317,1.176641668452591,1.1808813471611732,1.1850829826281568
68,2.1940895894168486,1.2966797940283743,1.175839530891222,1.1603430377367951,1.1581393038521817,1.1637195964328577,1.1720796215162272,1.1775365649676715,1.1828694037625587,1.1824175471165141,1.1809449686957767,1.1743972510437646,1.1770228595420962,1.1821680179710596,1.1853207305594164
69,2.1933834169309225,1.2920643171543198,1.1743064972500052,1.1592578384432521,1.1566679374057147,1.1623145048735573,1.1734320372579465,1.1734283916285781,1.179897561930478,1.179587834892005,1.1799760864370146,1.171880646732085,1.176455958358577,1.1777659745815674,1.1834420649731745
70,2.19070090062332,1.2897491835071306,1.1733149054737224,1.1591315920120724,1.1539905578771517,1.1597850019814537,1.170554276088884,1.1750180331735662,1.1808160131701377,1.1809071892876815,1.180208623083563,1.1713037373589688,1.1745280938070328,1.1781991501974929,1.1835284440413765
71,2.1933140795897423,1.2868393385996584,1.1716366506013713,1.1563997450307113,1.15328711481516,1.161267565899208,1.1673878186093254,1.1725981639382617,1.17716051094811,1.1801906543537382,1.1768267059876256,1.1711907161289326,1.1736788367834248,1.176305728531926,1.1822480735656455
72,2.18009411649573,1.2810830744237847,1.1703418390533125,1.1557183838166518,1.1522755385984904,1.1577788571842382,1.1678505314840077,1.1717219434800694,1.1759817306438767,1.1784569097626125,1.1761735614025022,1.1695268459308041,1.1726927273390724,1.1727416385066964,1.1791044193255587
73,2.1799795850484203,1.2825655248864318,1.1702786480794187,1.155123008079216,1.1502374919918836,1.1590986017320977,1.168780767905025,1.1696312061424463,1.1748977218259182,1.1781519400152167,1.1750892196269056,1.167110511664334,1.1746088766660847,1.1725495030971174,1.1785610124033346
74,2.1779572298213026,1.2786338442227445,1.1681843802856338,1.1536562958931624,1.151187807010645,1.157198265927737,1.1666184628785192,1.167838678268787,1.176545499474939,1.175931983027581,1.173815948281349,1.167931046642241,1.1685787533932044,1.1698464572103948,1.1763966556795138
